,tech code_eia,tech code,tech
0,NG-ST,NG-ST,o-g-s
1,BIT-ST,BIT-ST,CoalOldUns
2,NG-CT,NG-CC,gas-CC
3,NG-CA,NG-CC,gas-CC
4,NUC-ST,NUC-ST,nuclear
5,LIG-ST,LIG-ST,CoalOldUns
6,SUB-ST,SUB-ST,CoalOldUns
7,RC-ST,RC-ST,CoalOldUns
8,NG-CS,NG-CS,Gas-CC-NSP
9,LFG-ST,LFG-ST,lfill-gas
10,RFO-ST,RFO-ST,o-g-s
11,DFO-ST,DFO-ST,o-g-s
12,SGC-CT,SGC-CC,gas-CC
13,SGC-CA,SGC-CC,gas-CC
14,PC-ST,PC-ST,CoalOldUns
15,WDS-ST,WDS-ST,biopower
16,WC-ST,WC-ST,CoalOldUns
17,WO-ST,WO-ST,o-g-s
18,NG-CC,NG-CC,gas-CC
19,DFO-CA,DFO-CC,o-g-s
20,DFO-CT,DFO-CC,o-g-s
21,SGP-CA,SGP-GT,coal-IGCC
22,BLQ-ST,BLQ-ST,biopower
23,BFG-ST,BFG-ST,o-g-s
24,OBS-ST,OBS-ST,biopower
25,PUR-ST,PUR-ST,o-g-s
26,MSW-ST,MSW-ST,lfill-gas
27,NG-GT,NG-GT,gas-CT
28,OG-ST,OG-ST,o-g-s
29,AB-ST,AB-ST,biopower
30,WH-CA,WH-CC,o-g-s
31,SUN-CP,SUN-CP,csp-ns
32,SUN-ST,SUN-SS,csp-ns
