,Plant Code,Plant Name,State,Plant-Generator Code,Parent Company,Technology Code,Requires cooling?,Cooling Technology,Fuel,Latitude,Longitude,Water Basin (8-digit HUC),Water Resource Region,First Year of Operation,Nameplate Capacity (MW),Estimated Generation (MWh),Estimated Capacity Factor,Reported Water Source (Name),Reported Water Source (Type),Reported  Withdrawal (million gallons/yr),Reported  Consumption (million gallons/yr),Calculated Withdrawal (million gallons/yr),Calculated Withdrawal MIN (million gallons/yr),Calculated Withdrawal MAX (million gallons/yr),Calculated Consumption (million gallons/yr),Calculated Consumption MIN (million gallons/yr),Calculated Consumption MAX (million gallons/yr),Generator ID
0,2,Bankhead Dam,AL,2-1,Southern Company,HY-NA-HY,No,None,Hydropower,33.21888888888889,-87.57972222222222,3160112,South Atlantic Gulf,1963,45.0,88157.0,0.22363521055301877,Black Warrior River,Surface Water,0.0,0.0,0,0,0,0,0,0,1
1,3,Barry,AL,3-1,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,31.004166666666666,-88.01388888888889,3160204,South Atlantic Gulf,1954,153.1,873997.0,0.6516743764334648,Mobile River,Surface Water,44658.226916158776,0.0,31769.79095,17479.94,43699.85,218.49925,87.3997,277.057049,1
2,3,Barry,AL,3-A1CT,Southern Company,NG-RC-CC,Yes,Recirculating,Natural Gas,31.004166666666666,-88.01388888888889,3160204,South Atlantic Gulf,2000,170.1,952731.6666666672,0.6393846130443462,Mobile River,Surface Water,0.0,0.0,241.0411116666668,142.9097500000001,269.6230616666668,188.64087000000012,123.85511666666673,285.8195000000002,A1CT
3,3,Barry,AL,3-A1ST,Southern Company,NG-RC-CC,Yes,Recirculating,Natural Gas,31.004166666666666,-88.01388888888889,3160204,South Atlantic Gulf,2000,195.2,830095.0,0.4854492991616139,Mobile River,Surface Water,0.0,0.0,210.014035,124.51425,234.916885,164.35881,107.91235,249.0285,A1ST
4,3,Barry,AL,3-A2C1,Southern Company,NG-RC-CC,Yes,Recirculating,Natural Gas,31.004166666666666,-88.01388888888889,3160204,South Atlantic Gulf,2000,170.1,952731.6666666672,0.6393846130443462,Mobile River,Surface Water,0.0,0.0,241.0411116666668,142.9097500000001,269.6230616666668,188.64087000000012,123.85511666666673,285.8195000000002,A2C1
5,3,Barry,AL,3-A2C2,Southern Company,NG-RC-CC,Yes,Recirculating,Natural Gas,31.004166666666666,-88.01388888888889,3160204,South Atlantic Gulf,2000,170.1,952731.6666666672,0.6393846130443462,Mobile River,Surface Water,0.0,0.0,241.0411116666668,142.9097500000001,269.6230616666668,188.64087000000012,123.85511666666673,285.8195000000002,A2C2
6,3,Barry,AL,3-A2ST,Southern Company,NG-RC-CC,Yes,Recirculating,Natural Gas,31.004166666666666,-88.01388888888889,3160204,South Atlantic Gulf,2000,195.2,778938.0,0.455532085111161,Mobile River,Surface Water,0.0,802.079251892352,197.071314,116.8407,220.439454,154.229724,101.26194,233.6814,A2ST
7,3,Barry,AL,3-2,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,31.004166666666666,-88.01388888888889,3160204,South Atlantic Gulf,1954,153.1,813505.0,0.6065700037877771,Mobile River,Surface Water,41567.294724615465,0.0,29570.90675,16270.1,40675.25,203.37625,81.3505,257.881085,2
8,3,Barry,AL,3-3,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,31.004166666666666,-88.01388888888889,3160204,South Atlantic Gulf,1959,272.0,1458889.0,0.6122788242009133,Mobile River,Surface Water,74544.18723117809,0.0,53030.61515,29177.78,72944.45,364.72225,145.8889,462.467813,3
9,3,Barry,AL,3-4,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,31.004166666666666,-88.01388888888889,3160204,South Atlantic Gulf,1969,403.7,2445624.0,0.6915551694768596,Mobile River,Surface Water,74202.49013949039,0.0,88898.4324,48912.48,122281.2,611.406,244.5624,775.262808,4
10,3,Barry,AL,3-5,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,31.004166666666666,-88.01388888888889,3160204,South Atlantic Gulf,1971,788.8,3968109.0,0.574265313706966,Mobile River,Surface Water,120396.0907093335,0.0,144240.76215,79362.18,198405.45,992.02725,396.8109,1257.890553,5
11,4,Walter Bouldin Dam,AL,4-1,Southern Company,HY-NA-HY,No,None,Hydropower,32.56638888888889,-86.28027777777778,3150201,South Atlantic Gulf,1967,75.0,138299.0,0.21050076103500762,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,1
12,4,Walter Bouldin Dam,AL,4-2,Southern Company,HY-NA-HY,No,None,Hydropower,32.56638888888889,-86.28027777777778,3150201,South Atlantic Gulf,1967,75.0,138299.0,0.21050076103500762,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,2
13,4,Walter Bouldin Dam,AL,4-3,Southern Company,HY-NA-HY,No,None,Hydropower,32.56638888888889,-86.28027777777778,3150201,South Atlantic Gulf,1967,75.0,138299.0,0.21050076103500762,Coosa River,Surface Water,0.0,0.0,0,0,0,0,0,0,3
14,7,Gadsden,AL,7-1,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,34.01361111111111,-85.97027777777778,3150106,South Atlantic Gulf,1949,69.0,279559.0,0.4625090993316127,Coosa River,Surface Water,27401.123000854008,66.0268024116964,10161.96965,5591.18,13977.95,69.88975,27.9559,88.620203,1
15,7,Gadsden,AL,7-2,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,34.01361111111111,-85.97027777777778,3150106,South Atlantic Gulf,1949,69.0,319739.0,0.5289838528224472,Coosa River,Surface Water,31339.38691714471,75.5165949810716,11622.51265,6394.78,15986.95,79.93475,31.9739,101.357263,2
16,8,Gorgas,AL,8-10,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,33.64416666666666,-87.19722222222222,3160109,South Atlantic Gulf,1972,788.8,4481336.0,0.6485396000629822,Warrior River,Surface Water,260604.98516631802,257585.3926886056,162896.5636,89626.72,224066.8,1120.334,448.1336,1420.583512,10
17,8,Gorgas,AL,8-6,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,33.64416666666666,-87.19722222222222,3160109,South Atlantic Gulf,1951,125.0,501760.0,0.45822831050228313,Warrior River,Surface Water,36842.36232853989,1472.3953207997138,18238.976,10035.2,25088,125.44,50.176,159.05792,6
18,8,Gorgas,AL,8-7,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,33.64416666666666,-87.19722222222222,3160109,South Atlantic Gulf,1952,125.0,591564.0,0.5402410958904109,Warrior River,Surface Water,43436.3345593917,1735.9216867696944,21503.3514,11831.28,29578.2,147.891,59.1564,187.525788,7
19,8,Gorgas,AL,8-8,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,33.64416666666666,-87.19722222222222,3160109,South Atlantic Gulf,1956,187.5,1090673.0,0.6640322678843227,Warrior River,Surface Water,127943.39355342585,126460.93185569445,39645.96355,21813.46,54533.65,272.66825,109.0673,345.743341,8
20,8,Gorgas,AL,8-9,Southern Company,CL-OT-ST,Yes,Once-Through,Coal,33.64416666666666,-87.19722222222222,3160109,South Atlantic Gulf,1958,190.4,1130894.0,0.678033028279805,Warrior River,Surface Water,132661.5916128922,131124.46083291117,41107.9969,22617.88,56544.7,282.7235,113.0894,358.493398,9
21,9,Copper,TX,9-1,El Paso Electric Company,NG-NA-CT,No,None,Natural Gas,31.74527777777778,-106.36916666666666,13040100,Rio Grande,1980,80.5,18110.0,0.025681386312714483,Municipality,Municipal,0.0,0.0,0,0,0,0,0,0,1
22,10,Greene County,AL,10-GT5,#not reported,NG-NA-CT,No,None,Natural Gas,32.6,-87.76666666666667,3160113,South Atlantic Gulf,1995,80.0,15482.666666666664,0.02209284627092846,Warrior River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT5
23,10,Greene County,AL,10-GT6,#not reported,NG-NA-CT,No,None,Natural Gas,32.6,-87.76666666666667,3160113,South Atlantic Gulf,1995,80.0,15482.666666666664,0.02209284627092846,Warrior River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT6
24,10,Greene County,AL,10-GT7,#not reported,NG-NA-CT,No,None,Natural Gas,32.6,-87.76666666666667,3160113,South Atlantic Gulf,1995,80.0,15482.666666666664,0.02209284627092846,Warrior River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT7
25,10,Greene County,AL,10-GT8,#not reported,NG-NA-CT,No,None,Natural Gas,32.6,-87.76666666666667,3160113,South Atlantic Gulf,1996,80.0,15482.666666666664,0.02209284627092846,Warrior River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT8
26,10,Greene County,AL,10-GT9,#not reported,NG-NA-CT,No,None,Natural Gas,32.6,-87.76666666666667,3160113,South Atlantic Gulf,1996,80.0,15482.666666666664,0.02209284627092846,Warrior River,Surface Water,0.0,0.0,0,0,0,0,0,0,GT9
